Distance,Action,Reward
11.48172,Follow,-0.02
11.48172,ShootLaser,-0.05
11.23398,Patrol,-0.1
11.23398,Follow,-0.02
11.23398,ShootLaser,-0.05
10.9699,Patrol,-0.1
10.9699,Follow,-0.02
10.9699,ShootLaser,-0.05
10.69899,Patrol,-0.1
10.69899,Follow,-0.02
10.69899,ShootLaser,-0.05
10.45826,Patrol,-0.1
10.45826,Follow,-0.02
10.45826,ShootLaser,-0.05
10.21618,Patrol,-0.1
10.21618,Follow,-0.02
10.21618,ShootLaser,-0.05
9.91434,Patrol,-0.1
9.91434,Follow,-0.02
9.91434,ShootLaser,-0.05
9.627417,Patrol,-0.1
9.627417,Follow,-0.02
9.627417,ShootLaser,-0.05
9.328474,Patrol,-0.1
9.328474,Follow,-0.02
9.328474,ShootLaser,-0.05
9.045433,Patrol,-0.1
9.045433,Follow,-0.02
9.045433,ShootLaser,-0.05
8.841541,Patrol,-0.1
8.841541,Follow,-0.02
8.841541,ShootLaser,-0.05
8.717732,Patrol,-0.1
8.717732,Follow,-0.02
8.717732,ShootLaser,-0.05
8.588035,Patrol,-0.1
8.588035,Follow,0.1
8.588035,ShootLaser,2
8.446662,Patrol,0
8.446662,Follow,0.1
8.329047,Patrol,0
8.329047,Follow,0.1
8.206402,Patrol,0
8.206402,Follow,0.1
8.089554,Patrol,0
8.089554,Follow,0.1
7.83769,Patrol,0
7.83769,Follow,-0.02
7.699077,Patrol,-0.1
7.699077,Follow,-0.02
7.571648,Patrol,-0.1
7.571648,Follow,-0.02
7.444283,Patrol,-0.1
7.444283,Follow,-0.02
7.313457,Patrol,-0.1
7.313457,Follow,0.1
7.172577,Patrol,0
7.172577,Follow,0.1
7.010274,Patrol,0
7.010274,Follow,0.1
6.772245,Patrol,0
6.772245,Follow,0.1
6.630705,Patrol,0
6.630705,Follow,0.1
6.511214,Patrol,0
6.511214,Follow,0.1
6.380634,Patrol,0
6.380634,Follow,0.1
6.255755,Patrol,0
6.255755,Follow,0.1
6.131668,Patrol,0
6.131668,Follow,0.1
6.008004,Patrol,0
6.008004,Follow,0.1
5.877046,Patrol,0
5.877046,Follow,0.1
5.75338,Patrol,0
5.75338,Follow,0.1
5.507062,Patrol,0
5.507062,Follow,0.1
5.377083,Patrol,0
5.377083,Follow,0.1
5.26074,Patrol,0
5.26074,Follow,0.1
5.146904,Patrol,0
5.146904,Follow,0.1
5.033874,Patrol,0
5.033874,Follow,0.1
4.916879,Patrol,0
4.916879,Follow,0.05
4.785298,Patrol,0
4.785298,Follow,0.05
4.657018,Patrol,0
4.657018,Follow,0.05
4.553153,Patrol,0
4.553153,Follow,0.05
4.461504,Patrol,0
4.461504,Follow,0.05
4.387853,Patrol,0
4.387853,Follow,0.05
4.323617,Patrol,0
4.323617,Follow,0.05
4.264285,Patrol,0
4.264285,Follow,0.05
4.206775,Patrol,0
4.206775,Follow,0.05
4.157454,Patrol,0
4.157454,Follow,0.05
4.0942,Patrol,0
4.0942,Follow,0.05
4.055943,Patrol,0
4.055943,Follow,0.05
3.98242,Patrol,0
3.98242,Follow,0.05
3.95322,Patrol,0
3.95322,Follow,0.05
3.926169,Patrol,0
3.926169,Follow,0.05
3.900738,Patrol,0
3.900738,Follow,0.05
3.882585,Patrol,0
3.882585,Follow,0.05
3.868005,Patrol,0
3.868005,Follow,0.05
3.833239,Patrol,0
3.833239,Follow,0.05
3.796337,Patrol,0
3.796337,Follow,0.05
3.758291,Patrol,0
3.758291,Follow,0.05
3.720653,Patrol,0
3.720653,Follow,0.05
3.672447,Patrol,0
3.672447,Follow,0.05
3.632296,Patrol,0
3.632296,Follow,0.05
3.59193,Patrol,0
3.59193,Follow,0.05
3.553247,Patrol,0
3.553247,Follow,0.05
3.506279,Patrol,0
3.506279,Follow,0.05
3.464172,Patrol,0
3.464172,Follow,0.05
3.413275,Patrol,0
3.413275,Follow,0.05
3.366423,Patrol,0
3.366423,Follow,0.05
3.319517,Patrol,0
3.319517,Follow,0.05
3.274172,Patrol,0
3.274172,Follow,0.05
3.227293,Patrol,0
3.227293,Follow,0.05
3.163404,Patrol,0
3.163404,Follow,0.05
3.105117,Patrol,0
3.105117,Follow,0.05
3.050092,Patrol,0
3.050092,Follow,0.05
2.985623,Patrol,0
2.985623,Follow,0.05
2.931127,Patrol,0
2.931127,Follow,0.05
2.87242,Patrol,0
2.87242,Follow,0.05
2.818531,Patrol,0
2.818531,Follow,0.05
2.755445,Patrol,0
2.755445,Follow,0.05
2.689235,Patrol,0
2.689235,Follow,0.05
2.618444,Patrol,0
2.618444,Follow,0.05
2.55502,Patrol,0
2.55502,Follow,0.05
2.490551,Patrol,0
2.490551,Follow,0.05
2.408103,Patrol,0
2.408103,Follow,0.05
2.338279,Patrol,0
2.338279,Follow,0.05
2.261829,Patrol,0
2.261829,Follow,0.05
2.188116,Patrol,0
2.188116,Follow,0.05
2.1146,Patrol,0
2.1146,Follow,0.05
2.029887,Patrol,0
2.029887,Follow,0.05
1.949934,Patrol,0
1.949934,Follow,-0.1
1.869038,Patrol,0
1.869038,Follow,-0.1
1.790556,Patrol,0
1.790556,Follow,-0.1
1.700933,Patrol,0
1.700933,Follow,-0.1
1.621079,Patrol,0
1.621079,Follow,-0.1
1.551177,Patrol,0
1.551177,Follow,-0.1
1.480468,Patrol,0
1.480468,Follow,-0.1
1.414234,Patrol,0
1.414234,Follow,-0.1
1.422087,Patrol,0
1.422087,Follow,-0.1
1.436121,Patrol,0
1.436121,Follow,-0.1
1.453404,Patrol,0
1.453404,Follow,-0.1
1.475605,Patrol,0
1.475605,Follow,-0.1
1.500821,Patrol,0
1.500821,Follow,-0.1
1.528988,Patrol,0
1.528988,Follow,-0.1
1.568291,Patrol,0
1.568291,Follow,-0.1
1.64325,Patrol,0
1.64325,Follow,-0.1
1.684085,Patrol,0
1.684085,Follow,-0.1
1.72797,Patrol,0
1.72797,Follow,-0.1
1.774998,Patrol,0
1.774998,Follow,-0.1
1.817949,Patrol,0
1.817949,Follow,-0.1
1.869161,Patrol,0
1.869161,Follow,-0.1
1.919117,Patrol,0
1.919117,Follow,-0.1
1.975724,Patrol,0
1.975724,Follow,-0.1
2.031707,Patrol,0
2.031707,Follow,0.05
2.087581,Patrol,0
2.087581,Follow,0.05
2.147129,Patrol,0
2.147129,Follow,0.05
2.200987,Patrol,0
2.200987,Follow,0.05
2.268374,Patrol,0
2.268374,Follow,0.05
2.257637,Patrol,0
2.257637,Follow,0.05
2.257615,Patrol,0
2.257615,Follow,-0.02
2.179878,Patrol,-0.1
2.179878,Follow,0.05
2.059906,Patrol,0
2.059906,Follow,0.05
1.830646,Patrol,0
1.830646,Follow,-0.1
1.726592,Patrol,0
1.726592,Follow,-0.1
1.650359,Patrol,0
1.650359,Follow,-0.1
1.57415,Patrol,0
1.57415,Follow,-0.1
1.50009,Patrol,0
1.50009,Follow,-0.1
1.419312,Patrol,0
1.419312,Follow,-0.1
1.348129,Patrol,0
1.348129,Follow,-0.1
1.281629,Patrol,0
1.281629,Follow,-0.1
1.220586,Patrol,0
1.220586,Follow,-0.1
1.165992,Patrol,0
1.165992,Follow,-0.1
1.115822,Patrol,0
1.115822,Follow,-0.1
1.067004,Patrol,0
1.067004,Follow,-0.02
1.019996,Patrol,-0.1
1.019996,Follow,-0.1
0.9768051,Patrol,0
0.9768051,Follow,-0.1
0.925698,Patrol,0
0.925698,Follow,-0.1
0.8832219,Patrol,0
0.8832219,Follow,-0.1
0.8423923,Patrol,0
0.8423923,Follow,-0.1
0.7607158,Patrol,0
0.7607158,Follow,-0.02
0.7438375,Patrol,-0.1
0.7438375,Follow,-0.1
0.7279398,Patrol,0
0.7279398,Follow,-0.1
0.7268275,Patrol,0
0.7268275,Follow,-0.1
0.7268331,Patrol,0
0.7268331,Follow,-0.1
0.7268381,Patrol,0
0.7268381,Follow,-0.1
0.726842,Patrol,0
0.726842,Follow,-0.1
0.7268463,Patrol,0
0.7268463,Follow,-0.1
0.7268491,Patrol,0
0.7268491,Follow,-0.1
0.7268512,Patrol,0
0.7268512,Follow,-0.1
0.7268539,Patrol,0
0.7268539,Follow,-0.1
0.7383106,Patrol,0
0.7383106,Follow,-0.1
0.7706722,Patrol,0
0.7706722,Follow,-0.1
0.8050756,Patrol,0
0.8050756,Follow,-0.1
0.8261906,Patrol,0
0.8261906,Follow,-0.1
0.8406619,Patrol,0
0.8406619,Follow,-0.1
0.8554726,Patrol,0
0.8554726,Follow,-0.1
0.888862,Patrol,0
0.888862,Follow,-0.1
0.9050589,Patrol,0
0.9050589,Follow,-0.1
0.920394,Patrol,0
0.920394,Follow,-0.1
0.9354513,Patrol,0
0.9354513,Follow,-0.1
0.9542941,Patrol,0
0.9542941,Follow,-0.1
0.9687934,Patrol,0
0.9687934,Follow,-0.1
1.00547,Patrol,0
1.00547,Follow,-0.1
1.041469,Patrol,0
1.041469,Follow,-0.1
1.080243,Patrol,0
1.080243,Follow,-0.1
1.123378,Patrol,0
1.123378,Follow,-0.1
1.171865,Patrol,0
1.171865,Follow,-0.1
1.213764,Patrol,0
1.213764,Follow,-0.1
1.254148,Patrol,0
1.254148,Follow,-0.1
1.292897,Patrol,0
1.292897,Follow,-0.1
1.332956,Patrol,0
1.332956,Follow,-0.1
1.379765,Patrol,0
1.379765,Follow,-0.1
1.418651,Patrol,0
1.418651,Follow,-0.1
1.458836,Patrol,0
1.458836,Follow,-0.1
1.536903,Patrol,0
1.536903,Follow,-0.1
1.576695,Patrol,0
1.576695,Follow,-0.1
1.617628,Patrol,0
1.617628,Follow,-0.1
